번호,공시번호,상표명(자재명),자재구분,사업자,사업자번호,유효기간,공시기관,주의사항,등재일자,가격,기타사항,미생물 학명,농약/비료등록여부,연락처(사업장),효능효과 표시여부,효능효과 표시구분,효능효과 세부내용,제조장주소
844,공시-3-3-248,충진뚝(미생물+자연암석분말),토양개량 및 작물생육용,㈜남보,613-81-33010,2025.03.29 ~ 2028.03.28,국립순천대학교 산학협력단,"○ 제제의 증식과 확산을 위해 토양처리 경운작업 후에 반드시 물을 충분히 공급합니다(2~4일, 1회/일). ○ 제제의 특성상 반드시 30℃ 이하의 서늘하고 그늘진 곳에 보관합니다. ○ 천적을 관주할 경우에는 절대 사용 금지합니다.",2019.03.29,"15,000원/60g, 15,000원/1kg",Paecilomyces lilacinus 1.0 ×10^5 CFU/g 이상,,해당없음,055-762-6867,미표시,없음,,경상남도 진주시 문산읍 월아산로950번길 25-21
856,공시-3-5-071(공시-1-5-077),진나방뚝(미생물),충해관리용,㈜남보,613-81-33010,2025.04.26 ~ 2028.04.25,국립순천대학교 산학협력단,○ 미생물 제제이므로 30℃ 이하의 서늘하고 그늘진 곳에 보관합니다. ○ 살균효과가 있는 제품과의 혼용을 자제하시길 바랍니다.,2019.04.26,"3,500원/10g, 6,000원/300g, 15,000원/60g, 25,000원/200g, 15,000원/1kg",Bacillus thuringiensis 1.0X10^6 CFU/g 이상,Bacillus thuringiensis,X,055-762-6867,표시,,,경상남도 진주시 문산읍 월아산로950번길 25-21
874,공시-3-2-124(공시-1-2-165),영양킹(미생물추출물+해조류추출물),작물생육용,(주)천사친환경연구소,310-87-01213,2025.06.26 ~ 2028.06.25,국립순천대학교 산학협력단,○ 이 제품은 수도작 전용 제품입니다. ○ 사용 후 남은 양은 이물질 혼입을 방지할 수 있도록 밀봉 보관할 것 ○ 토양 상태와 작물 생육상태에 따라 증감할 것,2019.06.26,"18,000원/500ml",질소전량 2.2%,,X,061-261-1007,미표시,없음,,전라남도 신안군 압해읍 송림양알길 66-1
880,공시-3-3-263,영광퇴비(가축분퇴비),토양개량 및 작물생육용,영산영농조합법인,410-81-22103,2025.06.28 ~ 2028.06.27,국립순천대학교 산학협력단,"○ 습기가 많은 곳이나 직사광선을 피하여 주십시오. 유효 미생물의 활동이 억제됩니다. ○ 알칼리성 자재(석회 등), 미발효된 건계분 같은 미숙 퇴비 등 타 자재와 혼용하지 마십시오. ○ 시설 원예나 하우스 작물에 사용할 경우 적절한 환기를 해주십시오.",2019.06.28,"3,600/20kg(분상), 5,800/20kg(입상)",유기물 30% 이상,,제 전남 영광001-가20101호,061-353-2056,표시,비료등록,가축분퇴비 비료등록제품,전라남도 영광군 영광읍 와룡로 347-27
882,공시-2-4-149,균제왕 골드(미생물추출물),병해관리용,제일농산친환경영농조합법인,409-81-91541,2025.08.21 ~ 2028.08.20,강원대학교 산학협력단,- 제품의 사용방법 및 사용농도에 관한 사항을 숙지하십시오. - 사용 전 잘 흔들어 사용하십시오. - 한낮을 피하고 햇빛이 있는 때를 선택하여 엽면에 고루 닿도록 살포하십시오. - 알카리계 농자재와 혼용하지 마십시오.,2019.08.21,"35,000원/500mL, 70,000원/1L, 210,000원/3L",*주성분의 종류 및 함량: Surfactin,,없음,061-382-7599,미표시,없음,,전라남도 담양군 용면 통시암길 30
887,공시-2-5-214,팜닥터-네마크린(규조토+천적),충해관리용,글로벌아그로㈜,206-81-84024,2025.08.21 ~ 2028.08.20,강원대학교 산학협력단,"- 살포는 엽면살포, 토양관주처리 및 저압식 에어포그를 사용하여 살포할 수 있습니다. - 엽면살포시 직사광선을 피해 해질녘에 사용하십시오. - 잎의 앞과 뒤에 충분히 살포하십시오. - 소량의 물에서 충분히 풀어준 뒤에 희석하여 사용하십시오. - 처리할 곳이 건조할 경우, 처리 전후 소량의 관수를 하여 주십시오. - 사용하는 동안 제품이 침전되지 않게 잘 저어주십시오. - 살포 후 효과 증대를 위해 2시간 정도 습도를 유지해 주는 것이 좋습니다. - 효과적인 방제를 위해 해충 발생 시점 10일 간격으로 2~3회 살포를 권장합니다.",2019.08.21,"76,000원/1Pack(200g)","*주성분의 종류 및 함량: 규산전량, Steinernema carpocapsae *책임보험정보: DB손해보험㈜_120250348012",Steinernema carpocapsae,없음,1800-0584,미표시,없음,,경기도 이천시 설성면 진상미로 512
889,공시-2-3-537,메소나(미생물추출물),토양개량 및 작물생육용,글로벌아그로㈜,206-81-84024,2025.08.21 ~ 2028.08.20,강원대학교 산학협력단,"- 사용 전에 충분히 흔들어 섞은 후 사용하시고, 사용농도를 준수하여 토양관주처리하여 주십시오. - 본 제품을 타 자재와 혼용할 경우 혼용가부여부를 글로벌아그로㈜에 확인하시기 바랍니다. - 안정성이 입증된 제품이지만 절대로 먹거나 마시지 마시고 눈과 피부에 닿지 않도록 주의하십시오. - 어린이 및 노약자 손에 닿지 않게 하시고, 건냉암소에 보관하여 신속히 사용하십시오. - 사용 후 남은 경우에는 잘 밀봉한 후 서늘한 곳에 보관하십시오.",2019.08.21,"15,000원/500mL, 25,000원/1L, 48,000원/2L, 90,000원/4L, 110,000원/5L",*주성분의 종류 및 함량: 질소전량 *책임보험정보: DB손해보험㈜_120250348012,,없음,1800-0584,미표시,없음,,경상북도 안동시 풍산읍 절뒤길 18
892,공시-3-6-023,왕잘커(미생물추출물+황),병해충관리용,나라바이오(주),197-88-00980,2025.07.31 ~ 2028.07.30,국립순천대학교 산학협력단,○ 사용 전 잘 혼합하여 주십시오 ○ 직사광선을 피하여 서늘한 곳에 보관하십시오,2019.07.31,"11,000원/500g 20,000원/1kg 40,000원/2kg 180,000원/10kg 350,000원/20kg","파로모마이신 0.8ppm, 황전량 15% 이상",,X,1522-7008,표시,,사용방법 참고,전북특별자치도 군산시 서해로 237 (소룡동)
894,공시-2-4-151,바이백신 입제(미생물추출물),병해관리용,글로벌아그로㈜,206-81-84024,2025.08.21 ~ 2028.08.20,강원대학교 산학협력단,"- 처리 약량을 준수하여 작물에 골고루 뿌려주십시오. - 안전성이 입증된 제품이지만 절대로 먹지 마시고 눈과 피부에 닿지 않도록 주의하십시오. - 어린이 및 노약자 손에 닿지 않게 하시고, 장기간 보관 시 직사광선 및 습한 곳을 피해 보관해 주십시오. - 개봉 후 남은 경우에는 잘 밀봉하여 건조한 냉암소에 보관하십시오.",2019.08.21,"13,000원/1kg, 26,000원/2kg",*주성분의 종류 및 함량: Lipopolysaccharides *책임보험정보: DB손해보험㈜_120250348012,Lipopolysaccharides sp.,없음,1800-0584,미표시,없음,,경상북도 안동시 풍산읍 절뒤길 18
910,공시-2-5-222,총채프리(미생물),충해관리용,㈜이지,116-87-00723,2025.10.23 ~ 2028.10.22,강원대학교 산학협력단,"- 살아있는 미생물 제품으로 반드시 35℃ 이하의 서늘하고 그늘진 곳에 보관하십시오. - 이상기후(강우, 가뭄, 온도, 태풍 등), 병해충/잡초 다발생, 저항성 발현, 토양, 농업용수, 약제 보관 조건 등 다양한 상황에 의해 예상치 못한 약효, 약해에 문제가 발생할 수 있으니 사용에 주의하십시오. - 미생물의 정착 및 확산을 위해 토양 표면 처리 후 물을 충분히 공급해 주십시오. - 해충의 효과적인 방제를 위해 정식 후 성충 방제 전문 자재의 체계 처리를 권장합니다. - 한낮을 피해 오전 일찍 또는 오후 늦게 사용하십시오. - 산, 알칼리성 농자재와는 혼용하여 사용하지 마십시오. - 어린이 손에 닿지 않는 곳에 보관하십시오. - 기타 자세한 사항은 ㈜이지로 문의하십시오.",2019.10.23,"20,000원/1kg",*주성분의 종류 및 함량: Beauveria bassiana *책임보험정보: 농협손해보험㈜_319-1498-4206-03,Beauveria bassiana,없음,053-939-6670,미표시,없음,,충청남도 아산시 온천대로1122번길 45-12 (득산동)
912,공시-2-3-545,만다 31호(토양미생물제제),토양개량 및 작물생육용,해성씨드플러스㈜ 농업회사법인,601-81-22408,2025.10.23 ~ 2028.10.22,강원대학교 산학협력단,"- 냉암소 보관, 사용 전 충분히 희석해서 사용해 주세요. - 희석액은 당일 사용, 배율을 정확히 지키고 살포하세요. - 수분, 양분을 충분히 공급해 주세요. - 식용이 아니기에 드시지 마십시오. - 설명서의 내용을 확인하신 후에 사용하시기 바랍니다. - 용기의 중간 마개를 개봉 후 사용하시기 바랍니다.",2019.10.23,"5,000원/4mL, 44,000원/50mL, 88,000원/100mL, 330,000원/500mL, 590,000원/1L",*주성분의 종류 및 함량: Bacillus subtilis 5.47×10^6 cfu/mL,Bacillus subtilis,제 부산 강서023-나-20301 호,051-973-9697,미표시,없음,,부산광역시 강서구 공항앞길 67 (대저2동)
913,공시-2-3-546,청고팡 골드(미생물+점토광물+제당부산물),토양개량 및 작물생육용,㈜비아이지,314-81-33374,2025.10.23 ~ 2028.10.22,강원대학교 산학협력단,"- 살균용 농자재와 혼용하여 사용하지 마십시오. - 알카리성 제품과는 혼용하여 사용하지 마십시오. - 사용농도를 준수하여 사용하십시오. - 냉암소에 보관하십시오. - 특수한 재배 환경일 경우 시험 후 사용하십시오. - 약액이 작물의 잎 앞, 뒷면에 충분히 묻도록 골고루 살포하십시오. - 본 제품은 먹을 수 없습니다.",2019.10.23,"50,000원/300g",*주성분의 종류 및 함량: Bacillus amyloliquefaciens 1.0×10^6 cfu/g *책임보험정보: 삼성화재해상보험㈜_82504876683000,Bacillus amyloliquefaciens,없음,042-934-8154,미표시,없음,,대전광역시 유성구 테크노3로 77-2 (관평동)
920,공시-2-3-555,에프원(F-1)(동물부산물+미생물),토양개량 및 작물생육용,우림바이오㈜,643-85-01273,2025.11.27 ~ 2028.11.26,강원대학교 산학협력단,- 개봉 후 곧바로 사용하시기 바랍니다. - 살아있는 미생물이 함유되어 있으니 햇빛은 피하고 건조한 그늘에 보관하십시오. - 유통기한 내 사용하십시오. - 사랑의 피부나 호흡기에 묻지 않도록 주의하십시오. - 작물의 종류나 시기에 따라 시비량을 조절하여 사용하십시오.,2019.11.27,"15,000원/2kg","*주성분의 종류 및 함량: 질소전량, Bacillus subtilis 1.0×10^6 cfu/g",Bacillus subtilis,없음,031-294-1234(070-4244-2969),미표시,없음,,전라남도 영광군 백수읍 백수로 1215
921,공시-2-4-153,노고지리(미생물),병해관리용,㈜엠바이넥스,615-81-09229,2025.11.27 ~ 2028.11.26,강원대학교 산학협력단,- 물에 희석한 후 4시간 이내에 사용하십시오. - 살아있는 미생물 제제이므로 서늘한 곳에서 보관하십시오. - 타 미생물 제품 또는 액비와 혼용하면 효과 감소를 초래할 수 있습니다.,2019.11.27,"14,000원/100g, 30,000원/250g",*주성분의 종류 및 함량: Bacillus subtilis 1.0×10^8 cfu/g *책임보험정보: 메리츠화재해상보험㈜_14750-819,Bacillus subtilis,없음,055-761-4701,표시,,적용대상 작물명 및 효과: 딸기(시들음병) / 무처리구 대비 50% 이상 방제,경상남도 진주시 문산읍 월아산로950번길 25-3
924,공시-2-3-556,입상 락토히록스골드(토양미생물제제),토양개량 및 작물생육용,코리아히록스,502-11-75721,2025.11.27 ~ 2028.11.26,강원대학교 산학협력단,"- 사용 후 습기가 생기지 않도록 잘 밀봉한 후, 냉암건소에 보관해 주세요. - 사용량을 준수하고, 토양 환경에 맞추어 사용량을 조절하세요.",2019.11.27,"30,000원/10kg",*주성분의 종류 및 함량: Lacticaseibacillus casei 1.0×10^6 cfu/g,,제 경북 경산048-가-20301 호,053-423-7535,표시,비료등록,비료등록제품,경상북도 경산시 압량읍 압독로 153-12
951,공시-2-4-157,바이헌터(미생물추출물),병해관리용,㈜팜한농,120-87-55101,2026.01.22 ~ 2029.01.21,강원대학교 산학협력단,"- 이상기후(강우, 가뭄, 온도, 태풍 등), 병해충/잡초 다발생, 저항성 발현, 토양, 농업용수, 약제 보관 조건 등 다양한 상황에 의해 예상치 못한 약효, 약해에 문제가 발생할 수 있으니 사용에 주의하십시오. - 사용 전에 잘 흔들어 사용하시고, 한낮을 피해 오전 일찍 또는 오후 늦게 사용하십시오. - 산, 알칼리성 농자재와는 혼용하여 사용하지 마십시오. - 어린이 손에 닿지 않는 곳에 보관하십시오. - 직사광선을 피하고 냉암소에 보관하십시오. - 기타 자세한 사항은 ㈜팜한농에 문의하십시오.",2020.01.22,"30,000원/500mL",*주성분의 종류 및 함량: Glutamic acid 0.04% *책임보험정보: ㈜KB손해보험_2025-8036148(000),,없음,1644-0901,표시,,"적용대상 작물명 및 효과: 고추(오이모자이크바이러스(CMV), 토마토반점위조바이러스(TSWV)) / 무처리구 대비 50% 이상 방제",경상북도 구미시 남구미로 69 (공단동)
952,공시-2-6-050,총채싹플러스(규조토+미생물+중탄산나트륨),병해충관리용,㈜팜한농,120-87-55101,2026.01.22 ~ 2029.01.21,강원대학교 산학협력단,"- 살아있는 미생물 제품으로 반드시 35℃ 이하의 서늘하고 그늘진 곳에 보관하십시오. - 이상기후(강우, 가뭄, 온도, 태풍 등), 병해충/잡초 다발생, 저항성 발현, 토양, 농업용수, 약제 보관 조건 등 다양한 상황에 의해 예상치 못한 약효, 약해에 문제가 발생할 수 있으니 사용에 주의하십시오. - 해충의 효과적인 방제를 위하여 정식 후 성충 방제 전문 자재의 체계처리를 권장합니다. - 한낮을 피해 오전 일찍 또는 오후 늦게 사용하십시오. - 산, 알칼리성 농자재와는 혼용하여 사용하지 마십시오. - 어린이 손에 닿지 않는 곳에 보관하십시오. - 기타 자세한 사항은 ㈜팜한농에 문의하십시오.",2020.01.22,"30,000원/200g","*주성분의 종류 및 함량: 규산전량 14%, Beauveria bassiana 7.5×10^5 cfu/g, 나트륨전량 14% *책임보험정보: ㈜KB손해보험_2025-8036148(000)",Beauveria bassiana,없음,1644-0901,표시,,"적용대상 작물명 및 효과: 감귤, 고추(꽃노랑총채벌레), 단고추, 수박, 참외, 토마토, 호박(담배가루이), 오이(꽃노랑총채벌레, 담배가루이) / 무처리구 대비 50% 이상 방제",경상북도 영천시 청통면 사일로 367-11
953,공시-3-5-085(공시-1-5-080),비티박사(미생물),충해관리용,㈜누림,221-81-31884,2025.12.19 ~ 2028.12.18,국립순천대학교 산학협력단,○ 개봉 후에는 빨리 사용하십시오 ○ 햇빛이 강한 한낮에는 사용을 피해주시고 늦은 오후에 살포하여 주십시오 ○ 제품보관은 서늘하고 건조한 곳에 보관하십시오 ○ 절대로 음용하시 마시고 어린이 손에 닿지 않는 곳에 보관하십시오 ○ 타농자재와 혼용 시 소량 일부 살포 후 이상이 없을 때 사용하여 주십시오 ○ 알칼리성 물질이나 동제 화합물과의 혼용은 삼가십시오,2019.12.19,"20,000원/500g",Bacillus thuringiensis 1.0X10^6 CFU/g,Bacillus thuringiensis,X,033-251-2511,미표시,없음,,강원특별자치도 춘천시 동내면 거두단지1길 29
970,공시-3-2-141(공시-1-2-173),피지피알 최강(미생물+제당산업의 부산물),작물생육용,피지피알(PGPR),504-07-44853,2026.01.31 ~ 2029.01.30,국립순천대학교 산학협력단,○ 본 제품은 살아있는 미생물로 만든 제품이므로 40℃ 이상의 고온에서는 미생물이 사멸됩니다.,2020.01.31,"75,000원/3kg",Saccharomyces cerevisiae 1.0X10^6 CFU/g,,X,054-971-9780,미표시,없음,,경상북도 칠곡군 지천면 신동로 78-21
971,공시-3-3-533(공시-1-3-407),마이코젯(미생물+제당산업의 부산물),토양개량 및 작물생육용,진영기업㈜,125-81-04930,2026.01.31 ~ 2029.01.30,국립순천대학교 산학협력단,○ 건조하고 그늘진 곳에 보관한다. ○ 개봉한 것은 바로 사용한다.,2020.01.31,"90,000원/500g, 50,000원/250g",Tricoderma Hazianum 1.0X10^5 CFU/g,,X,031-677-0091~4,미표시,없음,,경기도 안성시 미양면 제2공단5길 16-37
